Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
65,80,61,77,2021,0
65,82,69,76,2018,1
79,95,72,100,2019,3
75,78,,99,2019,3
63,76,70,79,2018,0
60,79,63,96,,2
72,78,80,86,2018,1
76,92,79,86,2021,2
64,85,72,95,2019,4
74,,71,98,2020,
62,88,77,99,2019,3
74,84,63,86,2021,2
67,80,72,78,2020,0
72,81,75,98,2018,4
,86,80,94,2018,4
72,77,,89,2019,1
63,76,78,,2020,0
60,79,79,84,2021,1
75,87,78,96,2018,2
,82,77,75,2018,0
62,87,79,99,2020,2
67,93,73,99,2018,2
61,78,67,95,2019,3
78,83,76,95,2020,4
72,89,61,76,,0
75,78,76,90,2018,3
61,90,76,77,2020,1
68,76,69,92,2021,3
76,85,67,80,2018,2
65,84,70,94,2020,2
